Signe,,,,,,,Informations,,,,,Validation,,,,,,Traitement vidéo,,,,,,
Domaine,Sous-domaine,Mot,N°ID,N° Signe,Définition,Explication,Date,Nom,Prénom,Origine,Version,Format,Clarté,Total,Remarques,,,Téléchargé,Monté,Miniature,YouTube,Site Web,Lien YouTube,
Sciences de la Vie,Génétique,Phénotype,76,2,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication,,,oui,oui,oui,oui,en cours,https://youtu.be/FPXCImCRZ7M,
Sciences de la Vie,Génétique,Traduction,77,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,en cours,https://youtu.be/kLUOe7I13x0,
Sciences de la Vie,Génétique,Transcription,78,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,en cours,https://youtu.be/RDybvd46BAU,
Sciences de la Vie,Microbiologie,Gélose,79,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,non,https://youtu.be/e__8aM0UP1s,
Sciences de la Vie,Microbiologie,Bacille,80,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,en cours,https://youtu.be/jATFVTrL0Fw,
Mathématiques,Algèbre,Vecteurs colinéaires,81,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/B75QUHIOBok,
Mathématiques,Algèbre,Concaténer,82,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/BsJMJ_Goa3Y,
Mathématiques,Algèbre,Matrice transposée,83,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/bi0OC7yl5pI,
Mathématiques,Algèbre,Pivot de Gauss,84,1,non,oui,13/05/2018,,,Séminaire,mp4,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/UdMI7BGpTmk,
Mathématiques,Algèbre,Matrice,85,1,non,oui,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/n4D5p0ObCM4,
Mathématiques,Algèbre,Noyau,86,1,non,oui,13/05/2018,,,Séminaire,mp4,1,1,2,,,,oui,oui,oui,oui,à vérifier,https://youtu.be/bXKc6fMR8YQ,
Mathématiques,Géométrie,Coplanaire,87,1,,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,non,non,,
Mathématiques,Raisonnement,Inclusion,88,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,non,https://youtu.be/TqKZFBFvbro,
Mathématiques,Raisonnement,Complémentaire,89,1,non,oui,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,non,https://youtu.be/vTTVOf4IijY,
Mathématiques,Statistiques/Probabilités,Probabilité,90,1,non,oui,13/05/2018,,,Séminaire,mp4,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/pQxMR0YKJKI,
Chimie,Minérale,Uranium,91,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/nnQnwOZOnV8,
Chimie,Générale,Extraction,92,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/s1_-8wNjnkM,
Sciences de la Vie,Biochimie,Lactose,93,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,non,https://youtu.be/fnceKjI3eXk,
Chimie,Générale,Polymérisation,94,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/soge7kuylVg,
Chimie,Générale,Tableau périodique,95,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/roK5LAJ993k,
Chimie,Générale,Complexation,96,1,non,oui,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/jiLVge7MgCU,
Physique,Classique,Célérité,97,1,non,non,13/05/2018,,,Séminaire,mp4,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/iCNhkkft83U,
Physique,Classique,Energie,98,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/xuH9jpt4DR4,
Physique,Mécanique  ,Travail d'une force,99,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/yT11DIC0PVM,
Physique,Quantique,Atome,100,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/0kpF00oW7r0,
Physique,Quantique,Electron,101,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/bgpI3bPfjqI,
Physique,Quantique,Quark,102,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/JO6pnNGKH5Q,
Physique,Nucléaire,Radioactif,103,3,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/w6oK10OPZCo,
Physique,Optique,Spectre d'absorption,104,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/Iat2_aELC5I,
Physique,Optique,Spectre d'émission,105,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/nNIvmsYTQA0,
Physique,Quantique,Photon,106,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/awPd2ICFjuk,
